SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
040,01,000,00000,00000,00000,Alabama,Alabama,4779736,4779745,4784762,4803689,4822023
162,01,000,00124,00000,00000,Abbeville city,Alabama,2688,2688,2682,2688,2654
162,01,000,00460,00000,00000,Adamsville city,Alabama,4522,4522,4518,4504,4490
162,01,000,00484,00000,00000,Addison town,Alabama,758,756,753,751,746
162,01,000,00676,00000,00000,Akron town,Alabama,356,356,355,345,344
162,01,000,00820,00000,00000,Alabaster city,Alabama,30352,30359,30460,30690,30991
162,01,000,00988,00000,00000,Albertville city,Alabama,21160,21128,21160,21378,21516
162,01,000,01132,00000,00000,Alexander City city,Alabama,14875,14875,14837,14832,14728
162,01,000,01228,00000,00000,Aliceville city,Alabama,2486,2478,2471,2429,2432
162,01,000,01396,00000,00000,Allgood town,Alabama,622,622,622,627,628
162,01,000,01660,00000,00000,Altoona town,Alabama,933,933,933,931,932
162,01,000,01708,00000,00000,Andalusia city,Alabama,9015,9015,9020,9099,9064
162,01,000,01756,00000,00000,Anderson town,Alabama,282,282,282,281,281
162,01,000,01852,00000,00000,Anniston city,Alabama,23106,23106,23055,22896,22749
162,01,000,02116,00000,00000,Arab city,Alabama,8050,8050,8066,8161,8237
162,01,000,02260,00000,00000,Ardmore town,Alabama,1194,1194,1203,1248,1278
162,01,000,02320,00000,00000,Argo town,Alabama,4071,4071,4080,4096,4131
162,01,000,02428,00000,00000,Ariton town,Alabama,764,762,763,756,761
162,01,000,02500,00000,00000,Arley town,Alabama,357,359,358,356,354
162,01,000,02836,00000,00000,Ashford town,Alabama,2148,2141,2144,2152,2169
162,01,000,02860,00000,00000,Ashland town,Alabama,2037,2037,2031,1984,1952
162,01,000,02908,00000,00000,Ashville city,Alabama,2212,2212,2219,2224,2234
162,01,000,02956,00000,00000,Athens city,Alabama,21897,21897,22029,22801,23469
162,01,000,03004,00000,00000,Atmore city,Alabama,10194,10194,10187,10153,10121
162,01,000,03028,00000,00000,Attalla city,Alabama,6048,6048,6044,6019,6010
162,01,000,03076,00000,00000,Auburn city,Alabama,53380,53496,53856,54872,56908
162,01,000,03220,00000,00000,Autaugaville town,Alabama,870,880,880,885,884
162,01,000,03364,00000,00000,Avon town,Alabama,543,543,544,543,544
162,01,000,03556,00000,00000,Babbie town,Alabama,603,603,603,609,607
162,01,000,03676,00000,00000,Baileyton town,Alabama,610,610,611,611,610
162,01,000,03724,00000,00000,Bakerhill town,Alabama,279,279,278,275,273
162,01,000,03940,00000,00000,Banks town,Alabama,179,179,179,179,180
162,01,000,04660,00000,00000,Bay Minette city,Alabama,8044,8044,8075,8182,8316
162,01,000,04684,00000,00000,Bayou La Batre city,Alabama,2558,2558,2696,2676,2659
162,01,000,04852,00000,00000,Bear Creek town,Alabama,1070,1070,1071,1069,1062
162,01,000,04900,00000,00000,Beatrice town,Alabama,301,302,301,299,297
162,01,000,04948,00000,00000,Beaverton town,Alabama,201,198,197,195,194
162,01,000,05164,00000,00000,Belk town,Alabama,215,215,215,213,212
162,01,000,05692,00000,00000,Benton town,Alabama,49,49,49,48,47
162,01,000,05932,00000,00000,Berry town,Alabama,1148,1148,1147,1134,1130
162,01,000,05980,00000,00000,Bessemer city,Alabama,27456,27463,27437,27388,27289
162,01,000,06460,00000,00000,Billingsley town,Alabama,144,144,144,145,145
162,01,000,07000,00000,00000,Birmingham city,Alabama,212237,212288,212149,212411,212038
162,01,000,07120,00000,00000,Black town,Alabama,207,207,207,207,208
162,01,000,07456,00000,00000,Blountsville town,Alabama,1684,1684,1685,1695,1694
162,01,000,07672,00000,00000,Blue Springs town,Alabama,96,96,96,95,94
162,01,000,07912,00000,00000,Boaz city,Alabama,9551,9468,9487,9579,9653
162,01,000,08104,00000,00000,Boligee town,Alabama,328,328,327,324,323
162,01,000,08248,00000,00000,Bon Air town,Alabama,116,116,116,115,115
162,01,000,09016,00000,00000,Brantley town,Alabama,809,809,807,812,817
162,01,000,09136,00000,00000,Brent city,Alabama,4947,4947,4939,4927,4905
162,01,000,09208,00000,00000,Brewton city,Alabama,5408,5401,5395,5368,5347
162,01,000,09328,00000,00000,Bridgeport city,Alabama,2418,2418,2412,2411,2395
162,01,000,09400,00000,00000,Brighton city,Alabama,2945,2945,2944,2932,2919
162,01,000,09424,00000,00000,Brilliant town,Alabama,900,900,900,899,894
162,01,000,09736,00000,00000,Brookside town,Alabama,1363,1363,1362,1356,1357
162,01,000,09808,00000,00000,Brookwood town,Alabama,1828,1828,1828,1837,1842
162,01,000,10240,00000,00000,Brundidge city,Alabama,2076,2076,2077,2068,2074
162,01,000,11032,00000,00000,Butler town,Alabama,1894,1890,1887,1861,1859
162,01,000,11416,00000,00000,Calera city,Alabama,11620,11622,11743,12148,12472
162,01,000,11512,00000,00000,Camden city,Alabama,2020,2020,2005,2002,1990
162,01,000,11680,00000,00000,Camp Hill town,Alabama,1014,1014,1011,1009,999
162,01,000,12016,00000,00000,Carbon Hill city,Alabama,2021,2021,2021,2010,1996
162,01,000,12040,00000,00000,Cardiff town,Alabama,55,55,55,55,55
162,01,000,12160,00000,00000,Carolina town,Alabama,297,297,297,300,299
162,01,000,12304,00000,00000,Carrollton town,Alabama,1019,1019,1017,1004,1006
162,01,000,12496,00000,00000,Castleberry town,Alabama,583,592,591,587,582
162,01,000,12760,00000,00000,Cedar Bluff town,Alabama,1820,1822,1822,1827,1816
162,01,000,13264,00000,00000,Center Point city,Alabama,16921,16931,16938,16948,16961
